model,AUC,Avg Precision,Accuracy,Precision,Recall,F1
Logistic Regression,0.6308666473339175,0.29371104658075575,0.6053365347378205,0.2478635087290929,0.577965981068963,0.3469400833066325
CatBoost,0.6453301425300283,0.30003378512291334,0.6728500245268892,0.27352587244283993,0.4853035371147961,0.3498627536492137
LightGBM,0.6242151897150912,0.2751284766775122,0.7408669609893372,0.29464711899079443,0.3075225962564942,0.30094720713191253
